realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-25 01:34:34.436,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:34.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:35.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:35.996,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:36.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:37.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:37.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:38.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:38.596,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:39.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:39.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:40.155,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:40.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:41.196,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:41.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:42.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:42.756,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:43.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:43.796,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:44.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:44.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:45.356,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:45.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:46.395,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:46.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:47.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:47.956,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:48.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:48.995,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:49.522,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:50.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:50.556,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:51.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:51.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:52.116,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:52.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:53.156,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:53.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:54.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:54.716,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:55.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:55.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:56.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:56.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:34:57.316,W,0,0,0,0,1,0,0,0,0
